seq;session_seq;id;loc;ip;trm;ping;ac;test;time;acV1;acV2;acV3;battV;rpeventseq;totcur;batcur;battemp;origin;timeUTC
726533414;754138;NULL;AA018;10.64.65.28;ONLINE;19;0;0;2024-01-15 00:08:58.0000000;237;0;0;5407;NULL;12;0;16;NULL;2024-01-14 23:08:58.0000000
726535745;754139;NULL;AA018;10.64.65.28;ONLINE;19;0;0;2024-01-15 00:21:07.0000000;237;0;0;5407;NULL;12;0;16;NULL;2024-01-14 23:21:07.0000000
726538076;754140;NULL;AA018;10.64.65.28;ONLINE;19;0;0;2024-01-15 00:33:13.0000000;235;0;0;5407;NULL;12;0;16;NULL;2024-01-14 23:33:13.0000000
726540269;754141;NULL;AA018;10.64.65.28;ONLINE;19;0;0;2024-01-15 00:46:16.0000000;236;0;0;5407;NULL;12;0;16;NULL;2024-01-14 23:46:16.0000000
726542462;754142;NULL;AA018;10.64.65.28;ONLINE;19;0;0;2024-01-15 00:58:50.0000000;236;0;0;5407;NULL;12;0;16;NULL;2024-01-14 23:58:50.0000000
726544839;754143;NULL;AA018;10.64.65.28;ONLINE;19;0;0;2024-01-15 01:11:08.0000000;236;0;0;5407;NULL;12;0;15;NULL;2024-01-15 00:11:08.0000000
726547216;754144;NULL;AA018;10.64.65.28;ONLINE;19;0;0;2024-01-15 01:23:28.0000000;237;0;0;5407;NULL;12;0;15;NULL;2024-01-15 00:23:28.0000000
726549455;754145;NULL;AA018;10.64.65.28;ONLINE;19;0;0;2024-01-15 01:36:03.0000000;236;0;0;5407;NULL;12;0;15;NULL;2024-01-15 00:36:03.0000000
726551648;754146;NULL;AA018;10.64.65.28;ONLINE;19;0;0;2024-01-15 01:48:13.0000000;236;0;0;5407;NULL;12;0;15;NULL;2024-01-15 00:48:13.0000000
726553795;754147;NULL;AA018;10.64.65.28;ONLINE;18;0;0;2024-01-15 02:00:25.0000000;237;0;0;5407;NULL;12;0;15;NULL;2024-01-15 01:00:25.0000000
726556172;754148;NULL;AA018;10.64.65.28;ONLINE;19;0;0;2024-01-15 02:12:37.0000000;237;0;0;5407;NULL;12;0;16;NULL;2024-01-15 01:12:37.0000000
