seq;session_seq;id;loc;ip;trm;ping;ac;test;time;acV1;acV2;acV3;battV;rpeventseq;totcur;batcur;battemp;origin;timeUTC
763016575;790097;NULL;AA018;10.64.65.28;ONLINE;18;0;0;2024-06-14 00:02:55.0000000;233;0;0;5407;NULL;12;0;17;NULL;2024-06-13 22:02:55.0000000
763019596;790098;NULL;AA018;10.64.65.28;ONLINE;18;0;0;2024-06-14 00:15:22.0000000;233;0;0;5407;NULL;12;0;17;NULL;2024-06-13 22:15:22.0000000
763021835;790099;NULL;AA018;10.64.65.28;ONLINE;18;0;0;2024-06-14 00:29:31.0000000;233;0;0;5407;NULL;12;0;17;NULL;2024-06-13 22:29:31.0000000
763023982;790100;NULL;AA018;10.64.65.28;ONLINE;19;0;0;2024-06-14 00:42:10.0000000;234;0;0;5407;NULL;12;0;17;NULL;2024-06-13 22:42:10.0000000
763026313;790101;NULL;AA018;10.64.65.28;ONLINE;18;0;0;2024-06-14 00:55:02.0000000;234;0;0;5407;NULL;12;0;17;NULL;2024-06-13 22:55:02.0000000
763028552;790102;NULL;AA018;10.64.65.28;ONLINE;22;0;0;2024-06-14 01:08:02.0000000;235;0;0;5407;NULL;12;0;17;NULL;2024-06-13 23:08:02.0000000
763030653;790103;NULL;AA018;10.64.65.28;ONLINE;19;0;0;2024-06-14 01:20:53.0000000;234;0;0;5407;NULL;12;0;17;NULL;2024-06-13 23:20:53.0000000
763032800;790104;NULL;AA018;10.64.65.28;ONLINE;19;0;0;2024-06-14 01:35:17.0000000;234;0;0;5407;NULL;12;0;17;NULL;2024-06-13 23:35:17.0000000
763035131;790105;NULL;AA018;10.64.65.28;ONLINE;19;0;0;2024-06-14 01:48:20.0000000;235;0;0;5407;NULL;12;0;17;NULL;2024-06-13 23:48:20.0000000
763037508;790106;NULL;AA018;10.64.65.28;ONLINE;19;0;0;2024-06-14 02:00:31.0000000;235;0;0;5407;NULL;12;0;17;NULL;2024-06-14 00:00:31.0000000
763040345;790107;NULL;AA018;10.64.65.28;ONLINE;19;0;0;2024-06-14 02:13:15.0000000;235;0;0;5407;NULL;12;0;17;NULL;2024-06-14 00:13:15.0000000
763041986;790108;NULL;AA018;10.64.65.28;ONLINE;19;0;0;2024-06-14 02:26:06.0000000;235;0;0;5407;NULL;12;0;17;NULL;2024-06-14 00:26:06.0000000
763044593;790109;NULL;AA018;10.64.65.28;ONLINE;19;0;0;2024-06-14 02:38:20.0000000;234;0;0;5407;NULL;12;0;17;NULL;2024-06-14 00:38:20.0000000
763046510;790110;NULL;AA018;10.64.65.28;ONLINE;19;0;0;2024-06-14 02:50:48.0000000;235;0;0;5407;NULL;12;0;17;NULL;2024-06-14 00:50:48.0000000
763048657;790111;NULL;AA018;10.64.65.28;ONLINE;19;0;0;2024-06-14 03:03:35.0000000;234;0;0;5407;NULL;12;0;17;NULL;2024-06-14 01:03:35.0000000
763051126;790112;NULL;AA018;10.64.65.28;ONLINE;19;0;0;2024-06-14 03:16:06.0000000;235;0;0;5407;NULL;12;0;17;NULL;2024-06-14 01:16:06.0000000
