seq;session_seq;id;loc;ip;trm;ping;ac;test;time;acV1;acV2;acV3;battV;rpeventseq;totcur;batcur;battemp;origin;timeUTC
758684450;788201;NULL;MR102;10.64.105.13;ONLINE;17;0;0;2024-05-28 00:02:40.0000000;231;223;235;5338;NULL;14;1;33;NULL;2024-05-27 22:02:40.0000000
758686689;788202;NULL;MR102;10.64.105.13;ONLINE;18;0;0;2024-05-28 00:15:32.0000000;232;223;235;5338;NULL;14;1;33;NULL;2024-05-27 22:15:32.0000000
758689158;788203;NULL;MR102;10.64.105.13;ONLINE;17;0;0;2024-05-28 00:28:19.0000000;232;224;235;5338;NULL;14;1;33;NULL;2024-05-27 22:28:19.0000000
758691167;788204;NULL;MR102;10.64.105.13;ONLINE;18;0;0;2024-05-28 00:40:32.0000000;232;224;235;5338;NULL;14;1;33;NULL;2024-05-27 22:40:32.0000000
758693452;788205;NULL;MR102;10.64.105.13;ONLINE;18;0;0;2024-05-28 00:52:43.0000000;232;224;235;5338;NULL;14;1;33;NULL;2024-05-27 22:52:43.0000000
758696381;788206;NULL;MR102;10.64.105.13;ONLINE;18;0;0;2024-05-28 01:06:05.0000000;233;224;235;5338;NULL;14;1;33;NULL;2024-05-27 23:06:05.0000000
758698022;788207;NULL;MR102;10.64.105.13;ONLINE;17;0;0;2024-05-28 01:17:59.0000000;233;224;235;5338;NULL;14;1;33;NULL;2024-05-27 23:17:59.0000000
758700491;788208;NULL;MR102;10.64.105.13;ONLINE;17;0;0;2024-05-28 01:30:22.0000000;233;225;235;5338;NULL;14;1;33;NULL;2024-05-27 23:30:22.0000000
758702592;788209;NULL;MR102;10.64.105.13;ONLINE;18;0;0;2024-05-28 01:43:11.0000000;231;224;235;5338;NULL;14;1;33;NULL;2024-05-27 23:43:11.0000000
758705153;788210;NULL;MR102;10.64.105.13;ONLINE;18;0;0;2024-05-28 01:56:05.0000000;231;222;235;5338;NULL;14;1;33;NULL;2024-05-27 23:56:05.0000000
758707162;788211;NULL;MR102;10.64.105.13;ONLINE;17;0;0;2024-05-28 02:08:18.0000000;232;224;235;5338;NULL;14;1;33;NULL;2024-05-28 00:08:18.0000000
758709401;788212;NULL;MR102;10.64.105.13;ONLINE;18;0;0;2024-05-28 02:21:06.0000000;233;225;235;5338;NULL;14;1;33;NULL;2024-05-28 00:21:06.0000000
758711732;788213;NULL;MR102;10.64.105.13;ONLINE;18;0;0;2024-05-28 02:33:23.0000000;232;224;235;5338;NULL;14;1;33;NULL;2024-05-28 00:33:23.0000000
758714339;788214;NULL;MR102;10.64.105.13;ONLINE;18;0;0;2024-05-28 02:46:08.0000000;234;225;235;5338;NULL;14;1;33;NULL;2024-05-28 00:46:08.0000000
758716302;788215;NULL;MR102;10.64.105.13;ONLINE;18;0;0;2024-05-28 02:58:49.0000000;232;223;235;5338;NULL;14;1;33;NULL;2024-05-28 00:58:49.0000000
758719047;788216;NULL;MR102;10.64.105.13;ONLINE;18;0;0;2024-05-28 03:11:41.0000000;234;226;235;5338;NULL;14;1;33;NULL;2024-05-28 01:11:41.0000000
758720918;788217;NULL;MR102;10.64.105.13;ONLINE;17;0;0;2024-05-28 03:26:11.0000000;234;226;235;5338;NULL;14;1;33;NULL;2024-05-28 01:26:11.0000000
758724169;788218;NULL;MR102;10.64.105.13;ONLINE;18;0;0;2024-05-28 03:39:46.0000000;233;225;235;5338;NULL;14;1;33;NULL;2024-05-28 01:39:46.0000000
758725580;788219;NULL;MR102;10.64.105.13;ONLINE;17;0;0;2024-05-28 03:52:32.0000000;233;225;235;5338;NULL;14;1;33;NULL;2024-05-28 01:52:32.0000000
758727681;788220;NULL;MR102;10.64.105.13;ONLINE;18;0;0;2024-05-28 04:05:09.0000000;234;225;235;5338;NULL;14;1;33;NULL;2024-05-28 02:05:09.0000000
758730104;788221;NULL;MR102;10.64.105.13;ONLINE;18;0;0;2024-05-28 04:17:50.0000000;234;225;235;5338;NULL;14;1;33;NULL;2024-05-28 02:17:50.0000000
758732481;788222;NULL;MR102;10.64.105.13;ONLINE;18;0;0;2024-05-28 04:30:40.0000000;234;225;235;5338;NULL;14;1;33;NULL;2024-05-28 02:30:40.0000000
