seq;session_seq;id;loc;ip;trm;ping;ac;test;time;acV1;acV2;acV3;battV;rpeventseq;totcur;batcur;battemp;origin;timeUTC
759183724;788419;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 00:12:26.0000000;224;228;225;5360;NULL;34;1;30;NULL;2024-05-29 22:12:26.0000000
759185932;788420;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 00:24:51.0000000;224;228;226;5360;NULL;34;1;30;NULL;2024-05-29 22:24:51.0000000
759188263;788421;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 00:37:10.0000000;225;229;228;5360;NULL;34;1;30;NULL;2024-05-29 22:37:10.0000000
759190579;788422;NULL;TR041;10.75.9.145;ONLINE;95;0;0;2024-05-30 00:49:29.0000000;227;228;228;5360;NULL;34;1;30;NULL;2024-05-29 22:49:29.0000000
759192787;788423;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 01:02:45.0000000;226;229;227;5360;NULL;34;1;30;NULL;2024-05-29 23:02:45.0000000
759195103;788424;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 01:15:15.0000000;226;230;227;5360;NULL;34;1;30;NULL;2024-05-29 23:15:15.0000000
759197541;788425;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 01:28:03.0000000;228;232;228;5360;NULL;34;1;30;NULL;2024-05-29 23:28:03.0000000
759199673;788426;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 01:40:46.0000000;228;231;229;5360;NULL;34;1;30;NULL;2024-05-29 23:40:46.0000000
759201789;788427;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 01:53:20.0000000;227;230;227;5360;NULL;34;1;30;NULL;2024-05-29 23:53:20.0000000
759204166;788428;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 02:05:48.0000000;228;230;228;5360;NULL;34;1;30;NULL;2024-05-30 00:05:48.0000000
759206497;788429;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 02:18:09.0000000;227;230;228;5360;NULL;34;1;30;NULL;2024-05-30 00:18:09.0000000
759208736;788430;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 02:30:59.0000000;227;230;228;5360;NULL;34;1;30;NULL;2024-05-30 00:30:59.0000000
759211144;788431;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 02:43:39.0000000;227;230;227;5360;NULL;34;1;30;NULL;2024-05-30 00:43:39.0000000
759213306;788432;NULL;TR041;10.75.9.145;ONLINE;95;0;0;2024-05-30 02:56:25.0000000;227;230;228;5360;NULL;34;1;30;NULL;2024-05-30 00:56:25.0000000
759215668;788433;NULL;TR041;10.75.9.145;ONLINE;93;0;0;2024-05-30 03:08:41.0000000;226;228;226;5360;NULL;34;1;30;NULL;2024-05-30 01:08:41.0000000
759217953;788434;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 03:21:24.0000000;225;227;226;5360;NULL;34;1;30;NULL;2024-05-30 01:21:24.0000000
759220054;788435;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 03:33:38.0000000;228;230;229;5360;NULL;34;1;30;NULL;2024-05-30 01:33:38.0000000
759222400;788436;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 03:46:21.0000000;229;231;230;5360;NULL;34;1;30;NULL;2024-05-30 01:46:21.0000000
759224808;788437;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 03:58:58.0000000;228;231;229;5360;NULL;34;1;30;NULL;2024-05-30 01:58:58.0000000
759227154;788438;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 04:11:15.0000000;229;232;230;5360;NULL;34;1;30;NULL;2024-05-30 02:11:15.0000000
759229393;788439;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 04:24:08.0000000;229;231;230;5360;NULL;34;1;30;NULL;2024-05-30 02:24:08.0000000
759231801;788440;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 04:36:59.0000000;229;230;229;5360;NULL;34;1;30;NULL;2024-05-30 02:36:59.0000000
759234040;788441;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 04:49:23.0000000;229;231;229;5368;NULL;35;3;29;NULL;2024-05-30 02:49:23.0000000
759236233;788442;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 05:02:09.0000000;228;230;228;5360;NULL;34;1;30;NULL;2024-05-30 03:02:09.0000000
759238702;788443;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 05:14:23.0000000;227;229;228;5368;NULL;34;1;29;NULL;2024-05-30 03:14:23.0000000
759240941;788444;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 05:27:06.0000000;229;230;229;5368;NULL;34;1;29;NULL;2024-05-30 03:27:06.0000000
759243318;788445;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 05:40:04.0000000;229;230;229;5368;NULL;34;1;29;NULL;2024-05-30 03:40:04.0000000
759245434;788446;NULL;TR041;10.75.9.145;ONLINE;95;0;0;2024-05-30 05:52:46.0000000;228;230;229;5368;NULL;34;1;29;NULL;2024-05-30 03:52:46.0000000
759247704;788447;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 06:05:30.0000000;229;231;230;5368;NULL;34;1;29;NULL;2024-05-30 04:05:30.0000000
759249958;788448;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 06:18:18.0000000;229;232;231;5368;NULL;34;1;29;NULL;2024-05-30 04:18:18.0000000
759252274;788449;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 06:30:39.0000000;229;232;230;5368;NULL;34;1;29;NULL;2024-05-30 04:30:39.0000000
759254559;788450;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 06:43:05.0000000;229;230;229;5368;NULL;34;1;29;NULL;2024-05-30 04:43:05.0000000
759256813;788451;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 06:55:42.0000000;227;229;228;5368;NULL;34;1;29;NULL;2024-05-30 04:55:42.0000000
759259037;788452;NULL;TR041;10.75.9.145;ONLINE;93;0;0;2024-05-30 07:07:59.0000000;226;228;225;5368;NULL;34;1;29;NULL;2024-05-30 05:07:59.0000000
759261475;788453;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 07:20:44.0000000;225;227;226;5368;NULL;34;1;29;NULL;2024-05-30 05:20:44.0000000
759263622;788454;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 07:33:12.0000000;224;226;225;5368;NULL;34;1;29;NULL;2024-05-30 05:33:12.0000000
759266045;788455;NULL;TR041;10.75.9.145;ONLINE;94;0;0;2024-05-30 07:46:16.0000000;226;229;228;5368;NULL;34;1;29;NULL;2024-05-30 05:46:16.0000000
